post_id,brand,platform,post_date,crosspost,caption,views,reach,interactions,likes,comments,shares,saves,followers_gain,watch_total,watch_avg
META_TIA_IG_2026-08-12_29,TIA,Instagram,2026/8/12,Y,"Le problème quand on va en Tia, c'est qu'on a envie de tout tester. 🛒🍜 Entre les nouilles, les raviolis, le thé et même une Tsingtao pour l'apéro... Mon panier est déjà plein ! 🥟🍻#supermarche #tia #cuisinechinoise",1951,617,21,17,2,1,1,0,3181,5
META_TIA_IG_2026-08-04_30,TIA,Instagram,2026/8/4,Y,"Alerte gourmandise ! 🚨 Les fameuses glaces en forme de fruits débarquent enfin en France ! 🇫🇷🍋🍑🥭 Vous les avez sûrement déjà vues passer partout sur les réseaux, et elles sont maintenant disponibles pour vous rafraîchir ! Craquez pour ces délicieux desserts glacés en trompe-l'œil : citron acidulé, pêche douce ou mangue ultra-gourmande. Aussi belles à regarder que bonnes à manger ! 🤤☀️🛒 #glace #trompelœil #nouveautéfrance #gourmandise",4087,1446,53,36,3,9,1,1,11400,7
META_TIA_IG_2026-07-21_31,TIA,Instagram,2026/7/21,Y,Les supermarchés Tia de Reims et de Tours ont désormais ouvert leurs portes et vous accueillent avec plaisir ! #tours #reims #tiasupermarche #pov,2519,816,28,22,2,2,1,0,4500,5
META_TIA_IG_2026-07-19_32,TIA,Instagram,2026/7/19,Y,"🇦🇷🇪🇸 Une nuit, un trophée, une légende en quête d'histoire. ⚽🏆 #finalecoupedumonde #coupedumonde2026 #messifans",2849,1573,12,11,0,0,0,0,9840,6
META_TIA_IG_2026-07-13_33,TIA,Instagram,2026/7/13,Y,Mon petit bonheur🥰#tiasupermarche #jacknkings #glace #fruits #nourriture,3532,1768,34,24,3,3,1,1,8520,4
META_TIA_IG_2026-07-07_34,TIA,Instagram,2026/7/7,Y,"L'été est officiellement arrivé ! ☀️ Avec cette chaleur, on n'a qu'une envie : croquer dans ces fruits… glacés ! 🍉🥭🍓 Une expérience aussi fun que rafraîchissante. Vous en avez déjà testé ? 😍#tiasupermarche #jackandkings #glace #ete",2534,1351,37,31,1,0,0,0,5460,4
META_TIA_IG_2026-07-04_35,TIA,Instagram,2026/7/4,Y,Mon patron m'a dit de faire ma promo comme ça #tiasupermarche #tours #saran #pov #foodlover,1826,822,19,15,1,0,1,1,4440,5
META_TIA_IG_2026-07-01_36,TIA,Instagram,2026/7/1,N,"On dit que l'argent ne peut pas acheter le bonheur... mais chez nous, ça y ressemble fort ! 😄 Tia Supermarché est officiellement rouvert ! 🎉 📍 27 Rue des Laps, Cormontreuil Nouveautés et produits préférés vous attendent en rayon. On vous attend nombreux ! 🛒✨ #produitsasiatiques #reouverture #reims #tiasupermarche",3144,2210,57,43,4,2,4,2,11220,5
META_TIA_IG_2026-06-25_37,TIA,Instagram,2026/6/25,Y,L'obsession food tout droit venue des USA arrive enfin en France ! 🇺🇸➡️🇫🇷 Préparez-vous à craquer : ces glaces fruits ultra-réalistes débarquent chez vous dans 2 semaines. Qui a hâte de tester ? 🥭🍓🍋#tiasupermarche #tours #reims #pov #glace,1795,689,24,20,1,2,0,0,4140,6
META_TIA_IG_2026-06-22_38,TIA,Instagram,2026/6/22,Y,"Bonne nouvelle ! 🥢 Notre TIA Supermarché à Reims rouvre le vendredi 26 juin. 27 Rue des Laps,51350 Reims Cormontreuil Soyez au rendez-vous !",3859,1177,107,68,10,26,0,1,8280,6
META_TIA_IG_2026-06-17_39,TIA,Instagram,2026/6/17,Y,"Votre supermarché asiatique préféré est de retour ! 🥢 Tia Supermarché vous accueille à nouveau 📅 Vendredi 26 Juin 📍 27 Rue des Laps, Cormontreuil 🔥 Ne manquez pas le rendez-vous ! Des nouveautés et tous vos produits préférés vous attendent déjà. 🧋🥟 Hâte de vous retrouver ! 🎉 #produitsasiatiques #reouverture #ouverture #reims #tiasupermarche",5582,1528,181,88,31,52,2,4,13260,7
META_TIA_IG_2026-06-16_40,TIA,Instagram,2026/6/16,Y,"C'est pour ça que l'été est ma saison préférée: Le soleil, la plage, les fruits et bien sûr ma classe préférée!!! #tiasupermarche #france🇫🇷 #glace #été #foodporn",2386,1182,49,33,1,9,2,1,5460,4
META_TIA_IG_2026-06-15_41,TIA,Instagram,2026/6/15,Y,"Je sais que je devrais dormir, mais la voix dans ma tête continue… Vous pouvez trouver tout cela dans notre supermarché…#tours #saran #tiasupermarche #pov #iknowishouldsleep",1550,609,16,12,3,0,0,0,3960,6
META_TIA_IG_2026-06-11_42,TIA,Instagram,2026/6/11,Y,Des millions de Chinois adorent ce repas👈#tours #tiasupermarche #founduechinoise #asie #foodtok,3956,806,28,19,6,0,2,0,5700,7
META_TIA_IG_2026-06-09_43,TIA,Instagram,2026/6/9,N,Bienvenue dans notre Tia Supermarché . . . . . . . .#tiasupermarche #tours #tiasupermarché #saran #foodlover,837,595,17,13,3,0,0,0,3011,5
META_TIA_IG_2026-06-08_44,TIA,Instagram,2026/6/8,Y,Ils sont disponibles chez nous . . . . . . . .#tiasupermarche #tours #tiasupermarche #saran #foodlover,1940,942,28,23,2,1,0,0,4080,4
META_TIA_IG_2026-06-03_45,TIA,Instagram,2026/6/3,Y,Les glaces en forme de fruits vont bientôt arriver dans 28 jours #tours #tiasupermarche #glace,4801,2726,49,31,1,8,7,0,14580,5
META_TIA_IG_2026-05-20_46,TIA,Instagram,2026/5/20,N,Applaudissez bien fort Nouveautés bientôt !#supermarché #tiasupermarche #glace #Nouveautés #tours,1287,914,74,38,0,25,5,0,7560,8
META_TIA_IG_2026-05-18_47,TIA,Instagram,2026/5/18,Y,Choisis un cœur = ton repas du jour 🛒 . . . . . 1. Yakitori 2. Hot-dog 3. Baozi 4. Ramen 5. Bâtonnets épicés #tiasupermarche #nourriturefrançaise #supermarché #foodlover #❤️❤️,4039,2147,35,29,2,0,1,0,13200,6
META_TIA_IG_2026-05-15_48,TIA,Instagram,2026/5/15,Y,On hype Tia supermarché 🇫🇷 comme les gens hypent les konbini au Japon 🇯🇵 #tiasupermarche #tours #foodlover #fypシ❤️💞❤️,6204,1655,62,51,2,1,5,4,12180,7
META_TIA_IG_2026-05-12_49,TIA,Instagram,2026/5/12,Y,Quand je suis au Tia supermarché#tours #tiasupermarche #pov #foodlover #pourtoi,3025,1330,49,38,4,0,3,0,6720,5
META_TIA_IG_2026-05-07_50,TIA,Instagram,2026/5/7,Y,Faites des yakitori en 5 minutes en 6 étapes simples #yakitori #tours #tia #supermarché,4149,1610,44,35,0,3,2,0,11880,6
META_TIA_IG_2026-05-04_51,TIA,Instagram,2026/5/4,Y,"Notre supermarché de Tours est enfin ouvert, on vous attend !Adresse : Tia Supermarché 9 Rue Jean Monnet 37390 Notre-Dame-d'Oé France #chinese #grandma #singing #viral #tiasupermarche",7493,2616,178,110,23,35,8,9,25860,9
META_TIA_IG_2026-04-30_52,TIA,Instagram,2026/4/30,Y,"Notre supermarché à Tours ouvrira le 2 mai, nous vous souhaitons la bienvenue #tiasupermarche #tours #tiasupermarche #pov",31341,3720,347,201,52,74,17,9,39060,9
META_TIA_FB_2026-08-12_27,TIA,Facebook,2026/8/12,Y,"Le problème quand on va en Tia, c'est qu'on a envie de tout tester. 🛒🍜 Entre les nouilles, les raviolis, le thé et même une Tsingtao pour l'apéro... Mon panier est déjà plein ! 🥟🍻#supermarche #tia #cuisinechinoise",1951,843,21,17,2,1,1,0,5434,6
META_TIA_FB_2026-08-04_28,TIA,Facebook,2026/8/4,Y,"Alerte gourmandise ! 🚨 Les fameuses glaces en forme de fruits débarquent enfin en France ! 🇫🇷🍋🍑🥭 Vous les avez sûrement déjà vues passer partout sur les réseaux, et elles sont maintenant disponibles pour vous rafraîchir ! Craquez pour ces délicieux desserts glacés en trompe-l'œil : citron acidulé, pêche douce ou mangue ultra-gourmande. Aussi belles à regarder que bonnes à manger ! 🤤☀️🛒 #glace #trompelœil #nouveautéfrance #gourmandise",4087,1612,53,36,3,9,1,1,11000,7
META_TIA_FB_2026-07-21_29,TIA,Facebook,2026/7/21,Y,Les supermarchés Tia de Reims et de Tours ont désormais ouvert leurs portes et vous accueillent avec plaisir ! #tours #reims #tiasupermarche #pov,2519,945,28,22,2,2,1,0,6262,6
META_TIA_FB_2026-07-19_30,TIA,Facebook,2026/7/19,Y,"🇦🇷🇪🇸 Une nuit, un trophée, une légende en quête d'histoire. ⚽🏆 #finalecoupedumonde #coupedumonde2026 #messifans",2849,632,12,11,0,0,0,0,2672,4
META_TIA_FB_2026-07-13_31,TIA,Facebook,2026/7/13,Y,Mon petit bonheur🥰#tiasupermarche #jacknkings #glace #fruits #nourriture,3532,645,34,24,3,3,1,1,2837,5
META_TIA_FB_2026-07-07_32,TIA,Facebook,2026/7/7,Y,"L'été est officiellement arrivé ! ☀️ Avec cette chaleur, on n'a qu'une envie : croquer dans ces fruits… glacés ! 🍉🥭🍓 Une expérience aussi fun que rafraîchissante. Vous en avez déjà testé ? 😍#tiasupermarche #jackandkings #glace #ete",2534,585,37,31,1,0,0,0,2051,4
META_TIA_FB_2026-07-04_33,TIA,Facebook,2026/7/4,Y,Mon patron m'a dit de faire ma promo comme ça #tiasupermarche #tours #saran #pov #foodlover,1826,565,19,15,1,0,1,1,2448,4
META_TIA_FB_2026-06-25_34,TIA,Facebook,2026/6/25,Y,L'obsession food tout droit venue des USA arrive enfin en France ! 🇺🇸➡️🇫🇷 Préparez-vous à craquer : ces glaces fruits ultra-réalistes débarquent chez vous dans 2 semaines. Qui a hâte de tester ? 🥭🍓🍋#tiasupermarche #tours #reims #pov #glace,1795,778,24,20,1,2,0,0,4095,5
META_TIA_FB_2026-06-22_35,TIA,Facebook,2026/6/22,Y,"Bonne nouvelle ! 🥢 Notre TIA Supermarché à Reims rouvre le vendredi 26 juin. 27 Rue des Laps,51350 Reims Cormontreuil Soyez au rendez-vous !",3859,1275,107,68,10,26,0,1,12928,8
META_TIA_FB_2026-06-17_36,TIA,Facebook,2026/6/17,Y,"Votre supermarché asiatique préféré est de retour ! 🥢 Tia Supermarché vous accueille à nouveau 📅 Vendredi 26 Juin 📍 27 Rue des Laps, Cormontreuil 🔥 Ne manquez pas le rendez-vous ! Des nouveautés et tous vos produits préférés vous attendent déjà. 🧋🥟 Hâte de vous retrouver ! 🎉 #produitsasiatiques #reouverture #ouverture #reims #tiasupermarche",5582,1189,181,88,31,52,2,4,12665,8
META_TIA_FB_2026-06-16_37,TIA,Facebook,2026/6/16,Y,"C'est pour ça que l'été est ma saison préférée: Le soleil, la plage, les fruits et bien sûr ma classe préférée!!! #tiasupermarche #france🇫🇷 #glace #été #foodporn",2386,604,49,33,1,9,2,1,2692,4
META_TIA_FB_2026-06-15_38,TIA,Facebook,2026/6/15,Y,"Je sais que je devrais dormir, mais la voix dans ma tête continue… Vous pouvez trouver tout cela dans notre supermarché…#tours #saran #tiasupermarche #pov #iknowishouldsleep",1550,533,16,12,3,0,0,0,2381,4
META_TIA_FB_2026-06-11_39,TIA,Facebook,2026/6/11,Y,Des millions de Chinois adorent ce repas👈#tours #tiasupermarche #founduechinoise #asie #foodtok,3956,2609,28,19,6,0,2,0,14042,6
META_TIA_FB_2026-06-08_40,TIA,Facebook,2026/6/8,Y,Ils sont disponibles chez nous . . . . . . . .#tiasupermarche #tours #tiasupermarche #saran #foodlover,1940,517,28,23,2,1,0,0,1949,4
META_TIA_FB_2026-06-03_41,TIA,Facebook,2026/6/3,Y,Les glaces en forme de fruits vont bientôt arriver dans 28 jours #tours #tiasupermarche #glace,4801,703,49,31,1,8,7,0,3333,5
META_TIA_FB_2026-05-18_42,TIA,Facebook,2026/5/18,Y,Choisis un cœur = ton repas du jour 🛒 . . . . . 1. Yakitori 2. Hot-dog 3. Baozi 4. Ramen 5. Bâtonnets épicés #tiasupermarche #nourriturefrançaise #supermarché #foodlover #❤️❤️,4039,730,35,29,2,0,1,0,3635,5
META_TIA_FB_2026-05-15_43,TIA,Facebook,2026/5/15,Y,On hype Tia supermarché 🇫🇷 comme les gens hypent les konbini au Japon 🇯🇵 #tiasupermarche #tours #foodlover #fypシ❤️💞❤️,6204,3618,62,51,2,1,5,4,16845,5
META_TIA_FB_2026-05-12_44,TIA,Facebook,2026/5/12,Y,Quand je suis au Tia supermarché#tours #tiasupermarche #pov #foodlover #pourtoi,3025,855,49,38,4,0,3,0,4034,5
META_TIA_FB_2026-05-07_45,TIA,Facebook,2026/5/7,Y,Faites des yakitori en 5 minutes en 6 étapes simples #yakitori #tours #tia #supermarché,4149,1554,44,35,0,3,2,0,9040,6
META_TIA_FB_2026-05-04_46,TIA,Facebook,2026/5/4,Y,"Notre supermarché de Tours est enfin ouvert, on vous attend !Adresse : Tia Supermarché 9 Rue Jean Monnet 37390 Notre-Dame-d'Oé France #chinese #grandma #singing #viral #tiasupermarche",7493,1818,178,110,23,35,8,9,20280,10
META_TIA_FB_2026-04-30_47,TIA,Facebook,2026/4/30,N,#supermarché #tours #Centre-Val de Loire,91566,36790,2206,954,96,1004,120,303,272513,8
META_TIA_FB_2026-04-30_48,TIA,Facebook,2026/4/30,Y,"Notre supermarché à Tours ouvrira le 2 mai, nous vous souhaitons la bienvenue #tiasupermarche #tours #tiasupermarche #pov",31341,24137,347,201,52,74,17,9,130710,6
META_JNK_IG_2026-08-31_43,Jacknkings,Instagram,2026/8/31,Y,Et si on surfait aussi sur la hype de Justin Sun ? Des idées ? Laisse tomber 😂 Toutes nos glaces aux fruits Jacknkings à découvrir ! 🍧#justinsun #jackandkings #icecreamlovers #yummy #glace,738,525,14,11,0,0,0,0,2990,6
META_JNK_IG_2026-08-25_44,Jacknkings,Instagram,2026/8/25,Y,"Tu pensais croquer dans du poulet frit, mais c'est en fait une glace hyper rafraîchissante ? 🍗🥶 De nos jours, même les glaces maîtrisent l'art du camouflage ! Et on en parle de cette mangue ultra-réaliste ? 🥭✨ 👇 Dis-moi, lequel t'a eu au premier coup d'œil ? #trompelœil #icecreamtime🍦 #sweettooth #snackhaul #aesthetic",481,277,8,5,2,0,0,0,1408,5
META_JNK_IG_2026-08-10_45,Jacknkings,Instagram,2026/8/10,Y,"Enfin, tu peux trouver nos glaces en France ! #jackandkings #jacknkings #glace #lamer #summervibes",241,64,5,2,0,1,0,0,578,8
META_JNK_IG_2026-08-10_46,Jacknkings,Instagram,2026/8/10,Y,"C'est pas juste de la glace, c'est de l'art (et c'est incroyablement bon). ✨ Petite pause rafraîchissante avec ces merveilles fruitées de Jack & King's. Lequel vous donne le plus envie ? La pêche, le citron ou le faux poulet frit ? 🍑🍋🍗#jackandkings #icecreamlovers #yummy #cuisinechinoise #glace",365,188,7,4,0,0,0,0,720,4
META_JNK_IG_2026-07-27_47,Jacknkings,Instagram,2026/7/27,Y,Les bons jours : une glace. 🍦 Les mauvais jours : une glace. 🍦 Tous les jours : une glace. 🍦 La glace ne résout peut-être pas tous les problèmes… mais elle aide beaucoup. 😂 #glace #icecream #foodlover #gourmandise #desert,7940,6270,5146,0,204,172,146,1,,8
META_JNK_IG_2026-07-19_48,Jacknkings,Instagram,2026/7/19,Y,"Nuit de légende. 🇦🇷🇪🇸 Un trophée, deux nations, une histoire qui s'écrit ce soir. ⚽🏆 #FinaleCoupeDuMonde #CoupeDuMonde2026 #Messi",6779,3746,3684,0,293,228,271,0,,1
META_JNK_IG_2026-07-02_49,Jacknkings,Instagram,2026/7/2,Y,"Le Congo démarre fort ! 🔥 Après seulement 5 minutes, le Congo ouvre le score et mène 1-0 face à l'Angleterre. Qui aurait imaginé que l'Angleterre serait bousculée aussi vite pour son premier match à élimination directe ? En phase à élimination directe, il n'y a vraiment plus de petite équipe. Un seul but peut tout changer. L'Angleterre est en danger ! ⚽ #Angleterre #Congo #ÉliminationDirecte #FootballLive #CoupeDuMonde Surprise Atlanta JackDragonWorldCupTour",941,790,8,6,0,0,0,0,9360,12
META_JNK_IG_2026-07-01_50,Jacknkings,Instagram,2026/7/1,Y,"Premier match à élimination directe pour l'Angleterre : les supporters étaient complètement fous ! Les supporters anglais ne sont pas venus simplement regarder le match, ils sont venus mettre tout le stade en feu. 🔥 C'est le premier match à élimination directe de l'Angleterre, et aussi un moment clé pour prouver qu'elle fait partie des grands favoris pour le titre. #Angleterre #ÉliminationDirecte #AmbianceFootball #Atlanta #CoupeDuMonde SupportersAnglais JackDragonWorldCupTour",1102,680,24,21,0,0,1,0,4440,7
