brand,date,video_views,profile_views,likes,comments,shares
TIA,2026-04-15,7,3,0,0,0
TIA,2026-04-16,23,2,0,0,0
TIA,2026-04-17,64,3,1,0,0
TIA,2026-04-18,64,4,0,0,0
TIA,2026-04-19,6,2,0,0,0
TIA,2026-04-20,21,3,0,0,0
TIA,2026-04-21,13,3,0,0,0
TIA,2026-04-22,11,1,0,0,0
TIA,2026-04-23,25,2,0,0,0
TIA,2026-04-24,37,2,0,0,0
TIA,2026-04-25,77,4,0,0,0
TIA,2026-04-26,31,4,0,0,0
TIA,2026-04-27,1010,44,27,8,10
TIA,2026-04-28,16005,407,257,23,180
TIA,2026-04-29,6486,149,82,7,83
TIA,2026-04-30,2198,54,47,11,11
TIA,2026-05-01,881,34,14,0,7
TIA,2026-05-02,548,17,12,1,4
TIA,2026-05-03,609,12,4,1,5
TIA,2026-05-04,1423,52,42,10,11
TIA,2026-05-05,354,26,8,2,4
TIA,2026-05-06,635,22,5,0,7
TIA,2026-05-07,667,10,19,2,3
TIA,2026-05-08,579,16,8,0,3
TIA,2026-05-09,406,15,5,0,2
TIA,2026-05-10,318,12,3,1,3
TIA,2026-05-11,258,6,2,0,2
TIA,2026-05-12,1006,13,18,1,5
TIA,2026-05-13,160,8,4,0,0
TIA,2026-05-14,213,7,3,0,2
TIA,2026-05-15,1149,35,35,0,2
TIA,2026-05-16,353,17,9,0,4
TIA,2026-05-17,295,6,0,2,0
TIA,2026-05-18,1185,19,23,1,0
TIA,2026-05-19,304,11,4,8,0
TIA,2026-05-20,1066,26,18,0,7
TIA,2026-05-21,211,7,9,0,2
TIA,2026-05-22,178,5,4,0,2
TIA,2026-05-23,171,6,2,0,0
TIA,2026-05-24,183,7,2,0,0
TIA,2026-05-25,169,3,2,1,0
TIA,2026-05-26,266,7,2,0,0
TIA,2026-05-27,108,7,2,0,1
TIA,2026-05-28,202,4,3,0,0
TIA,2026-05-29,58,3,1,-1,0
TIA,2026-05-30,80,3,2,0,0
TIA,2026-05-31,211,4,1,0,1
TIA,2026-06-01,108,4,0,0,1
TIA,2026-06-02,184,5,1,0,1
TIA,2026-06-03,1060,21,19,0,1
TIA,2026-06-04,264,11,5,0,3
TIA,2026-06-05,173,5,4,0,0
TIA,2026-06-06,173,5,0,1,2
TIA,2026-06-07,182,4,3,0,0
TIA,2026-06-08,929,9,13,0,0
TIA,2026-06-09,119,4,2,0,0
TIA,2026-06-10,959,16,9,0,0
TIA,2026-06-11,1024,7,14,0,2
TIA,2026-06-12,125,8,3,0,1
TIA,2026-06-13,158,5,4,0,0
TIA,2026-06-14,102,1,1,0,0
TIA,2026-06-15,912,12,16,0,1
TIA,2026-06-16,1693,12,21,0,0
TIA,2026-06-17,1875,38,30,1,7
TIA,2026-06-18,317,10,1,0,1
TIA,2026-06-19,948,15,7,1,0
TIA,2026-06-20,254,12,6,0,2
TIA,2026-06-21,171,6,1,0,5
TIA,2026-06-22,1080,16,29,3,13
TIA,2026-06-23,4668,178,103,11,191
TIA,2026-06-24,10710,236,265,19,345
TIA,2026-06-25,3637,89,82,7,88
TIA,2026-06-26,1413,40,44,5,32
TIA,2026-06-27,1269,41,32,1,26
TIA,2026-06-28,812,20,16,1,8
TIA,2026-06-29,476,12,9,0,4
TIA,2026-06-30,332,14,11,0,3
TIA,2026-07-01,1467,28,35,0,4
TIA,2026-07-02,255,5,5,0,1
TIA,2026-07-03,215,7,4,0,0
TIA,2026-07-04,1060,19,89,0,1
TIA,2026-07-05,293,12,5,1,2
TIA,2026-07-06,192,5,5,0,0
TIA,2026-07-07,218,7,3,0,1
TIA,2026-07-08,727,8,2,0,2
TIA,2026-07-09,536,13,5,0,1
